URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),DiscountAmount,DiscountedAmount,DiscountOffer(%),SizeOption,Ratings,Reviews,High/Low Discount,,,1),Calculate the overall average original price for products with ratings greater than 4.
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,2296012,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans,1499,674.55,824,45,"28, 30, 32, 34, 36",3.9,999,Low Discount,,,,1653.59195
https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants,1149,631.95,517,55,"S, M, L, XL",4,999,High Discount,,,,
https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,11895958,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt,1399,769.45,629,55,"38, 40, 42, 44, 46, 48",4.3,999,High Discount,,,2),Count the number of products with a discount offer greater than 50% OFF.
https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude,1295,401.45,893,31,"S, M, L, XL, XXL",4.2,999,Low Discount,,,,5973
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,11690882,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt,599,209.65,389,35,"XS, S, M, L, XL",4.2,999,Low Discount,,,,
https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,2490950,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top,599,239.6,359,40,"XS, S, M, L, XL",4.4,999,Low Discount,,,3),"Count the number of products available in size ""M."""
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,6744434,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers,1499,899.4,599,60,"30, 32, 34, 36",3.9,998,High Discount,,,,6584
https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,8439415,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top,1395,809.1,585,58,"S, M, L, XL",3.7,998,High Discount,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,17381394,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,1098,581.94,516,53,"XS, S, M, L, XL",4.3,997,High Discount,,,,
https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,2359257,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,2749,1429.48,1319,52,"28, 30, 32, 34, 36",3.5,996,High Discount,,,,
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-training-tights/7695793/buy,7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,hrx by hrithik roshan men rapid dry training tights,2699,1484.45,1214,55,"S, M, L, XL, XXL",4.4,996,High Discount,,,,
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--white-striped-polo-collar-pure-cotton-t-shirt/10307375/buy,10307375,Roadster,Topwear,tshirts,Men,roadster men navy blue  white striped polo collar pure cotton t shirt,699,363.48,335,52,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,996,High Discount,,,,
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-pink--white-printed-kurta-with-trousers--dupatta/12873874/buy,12873874,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women pink  white printed kurta with trousers  dupatta,3399,2379.3,1019,70,"S, M, L, XL, XXL",4.2,996,High Discount,,,1),"Use VLOOKUP/XLOOKUP to find the product brand, price, and rating of the product with Product_id ""11226634""."
https://www.myntra.com/jumpsuit/athena/athena-women-black-solid-basic-jumpsuit/11634538/buy,11634538,Athena,Western,jumpsuit,Women,athena women black solid basic jumpsuit,2499,1249.5,1249,50,"XS, S, M, L, XL",4.3,996,Low Discount,,,,13780156
https://www.myntra.com/tshirts/roadster/roadster-women-maroon-solid-round-neck-t-shirt/2312181/buy,2312181,Roadster,Western,tshirts,Women,roadster women maroon solid round neck t shirt,799,479.4,319,60,"XS, S, M, L, XL",4,996,High Discount,,,product brand,LOCOMOTIVE
https://www.myntra.com/shirts/highlander/highlander-men-blue--black-slim-fit-printed-casual-shirt/13842386/buy,13842386,HIGHLANDER,Topwear,shirts,Men,highlander men blue  black slim fit printed casual shirt,1099,582.47,516,53,"39, 40, 42, 44",4.2,995,High Discount,,,price,1149
https://www.myntra.com/kurtas/vishudh/vishudh-women-blue--pink-floral-print-a-line-kurta/10473520/buy,10473520,Vishudh,Indian Wear,kurtas,Women,vishudh women blue  pink floral print a line kurta,1699,1002.41,696,59,"S, M, L, XL, XXL",4.2,995,High Discount,,,rating,4
https://www.myntra.com/kurta-sets/sangria/sangria-women-green--off-white-printed-kurta-with-palazzos--dupatta/10561392/buy,10561392,Sangria,Plus Size,kurta-sets,Women,sangria women green  off white printed kurta with palazzos  dupatta,3999,2399.4,1599,60,"XS, S, M, L, XL, XXL, 3XL",4.3,995,High Discount,,,,
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-olive-green-regular-fit-solid-cargos/12391750/buy,12391750,Tokyo Talkies,Western,trousers,Women,tokyo talkies women olive green regular fit solid cargos,2149,1310.89,838,61,"28, 30, 32, 34",4.1,995,High Discount,,,2),"Find the ""DiscountPrice"" for the product with the Product ID ""6744434"" using the INDEX and MATCH functions."
https://www.myntra.com/tshirts/dressberry/dressberry-women-lovely-olive-typography-talking-tee/2522986/buy,2522986,DressBerry,Western,tshirts,Women,dressberry women lovely olive typography talking tee,999,749.25,249,75,"XS, S, M, L, XL",4.3,995,High Discount,,,,6744434
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-printed-cotton-t-shirt/17385142/buy,17385142,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,1298,687.94,610,53,"XS, S, M, L, XL",4.4,994,High Discount,,,DiscountPrice,899.4
https://www.myntra.com/kurtas/anouk/anouk-women-mustard-yellow--gold-toned-printed-straight-kurta/12153330/buy,12153330,Anouk,Indian Wear,kurtas,Women,anouk women mustard yellow  gold toned printed straight kurta,1599,879.45,719,55,"XS, S, M, L, XL, XXL",3.8,993,High Discount,,,,
https://www.myntra.com/bra/enamor/enamor-black-non-wired-removable-pads-high-coverage-medium-impact-sports-bra-sb08/1864573/buy,1864573,Enamor,Lingerie & Sleep Wear,bra,Women,enamor black non wired removable pads high coverage medium impact sports bra sb08,849,373.56,475,44,"S, M, L, XL",4.2,993,Low Discount,,,,
https://www.myntra.com/shirts/all-about-you/all-about-you-women-mauve-stretchable-casual-shirt/13205276/buy,13205276,all about you,Western,shirts,Women,all about you women mauve stretchable casual shirt,1499,749.5,749,50,"XS, S, M, L, XL",4.2,993,Low Discount,,,,
https://www.myntra.com/tops/kassually/kassually-blue-floral-cinched-waist-top-with-puff-sleeves/11535928/buy,11535928,KASSUALLY,Western,tops,Women,kassually blue floral cinched waist top with puff sleeves,1299,805.38,493,62,"XS, S, M, L, XL, XXL",4.3,992,High Discount,,,,
https://www.myntra.com/tops/rare/rare-women-maroon-striped-top/6552977/buy,6552977,RARE,Western,tops,Women,rare women maroon striped top,1299,740.43,558,57,"S, M, L, XL",4.2,991,High Discount,,,,
https://www.myntra.com/trousers/zastraa/zastraa-women-maroon-slim-fit-peg-trousers/9476129/buy,9476129,Zastraa,Western,trousers,Women,zastraa women maroon slim fit peg trousers,2699,1889.3,809,70,"26, 28, 30, 32, 34, 36",4.1,991,High Discount,,,,
https://www.myntra.com/shorts/wisstler/wisstler-women-navy--pink-chevron-print-regular-fit-shorts/2017530/buy,2017530,WISSTLER,Western,shorts,Women,wisstler women navy  pink chevron print regular fit shorts,899,548.39,350,61,"26, 28, 30, 32, 34, 36",4,991,High Discount,,,,
